Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-05-31,15.0,15.05,14.448,14.496,12717500,0.0,0.0
2019-06-03,14.464,14.57,13.774,13.93,13167500,0.0,0.0
2019-06-04,14.142,14.5,14.078,14.494,8477000,0.0,0.0
2019-06-05,14.696,14.75,14.32,14.63,6780000,0.0,0.0
2019-06-06,14.694,14.782,14.486,14.718,5963500,0.0,0.0
2019-06-07,14.75,14.922,14.698,14.764,5964000,0.0,0.0
2019-06-10,14.882,15.128,14.87,14.936,6743000,0.0,0.0
2019-06-11,15.036,15.232,14.94,15.196,10611000,0.0,0.0
2019-06-12,15.104,15.414,15.044,15.398,7035000,0.0,0.0
2019-06-13,15.45,15.464,15.222,15.322,6168000,0.0,0.0
2019-06-14,15.306,15.426,15.138,15.142,6107000,0.0,0.0
2019-06-17,15.108,15.338,14.888,14.906,5729500,0.0,0.0
2019-06-18,15.148,15.154,14.93,14.99,5840500,0.0,0.0
2019-06-19,15.064,15.426,14.9,15.392,5841000,0.0,0.0
2019-06-20,15.574,15.864,15.28,15.388,7947000,0.0,0.0
2019-06-21,15.386,15.478,14.996,15.226,13655500,0.0,0.0
2019-06-24,15.808,15.838,15.138,15.168,8427500,0.0,0.0
2019-06-25,15.22,15.296,14.934,14.974,7626500,0.0,0.0
2019-06-26,15.036,15.256,14.964,15.05,7058000,0.0,0.0
2019-06-27,15.158,15.422,14.974,15.35,4634500,0.0,0.0
2019-06-28,15.418,15.524,15.202,15.366,10282000,0.0,0.0
2019-07-01,15.622,15.726,15.376,15.438,6317000,0.0,0.0
2019-07-02,15.488,15.69,15.44,15.622,5835500,0.0,0.0
2019-07-03,15.696,15.89,15.608,15.768,5445500,0.0,0.0
2019-07-05,15.678,15.788,15.438,15.778,3176000,0.0,0.0
2019-07-08,15.594,15.896,15.574,15.71,4753500,0.0,0.0
2019-07-09,15.69,16.14,15.602,16.11,8592000,0.0,0.0
2019-07-10,16.196,16.292,16.082,16.21,8551000,0.0,0.0
2019-07-11,16.318,16.84,16.236,16.812,11708500,0.0,0.0
2019-07-12,16.86,16.952,16.606,16.942,8756000,0.0,0.0
2019-07-15,16.988,17.046,16.728,17.004,9098500,0.0,0.0
2019-07-16,17.004,17.128,16.79,16.954,6077500,0.0,0.0
2019-07-17,16.936,17.366,16.892,17.31,6460500,0.0,0.0
2019-07-18,17.204,17.346,17.078,17.29,6332500,0.0,0.0
2019-07-19,17.412,17.73,17.394,17.472,8843500,0.0,0.0
2019-07-22,17.512,17.63,17.374,17.51,4343000,0.0,0.0
2019-07-23,17.658,17.664,17.264,17.522,5121000,0.0,0.0
2019-07-24,17.428,17.448,17.232,17.316,8035500,0.0,0.0
2019-07-25,17.208,17.332,17.018,17.068,5062000,0.0,0.0
2019-07-26,17.164,17.238,17.052,17.072,5169500,0.0,0.0
2019-07-29,17.068,17.068,16.242,16.592,9623500,0.0,0.0
2019-07-30,16.426,16.672,16.42,16.488,5744000,0.0,0.0
2019-07-31,16.486,16.51,15.876,16.062,8791000,0.0,0.0
2019-08-01,16.088,16.282,15.77,15.804,9131000,0.0,0.0
2019-08-02,17.6,18.558,17.178,17.21,28300500,0.0,0.0
2019-08-05,16.674,16.676,15.766,16.172,14763000,0.0,0.0
2019-08-06,16.292,16.498,16.108,16.412,9881000,0.0,0.0
2019-08-07,16.098,16.362,15.81,16.292,9951000,0.0,0.0
2019-08-08,16.42,16.932,16.42,16.874,8510000,0.0,0.0
2019-08-09,16.85,17.06,16.616,16.706,7749500,0.0,0.0
2019-08-12,16.6,16.676,16.284,16.438,6133500,0.0,0.0
2019-08-13,16.308,16.89,16.292,16.782,8284000,0.0,0.0
2019-08-14,16.44,16.5,15.826,16.142,7817500,0.0,0.0
2019-08-15,16.16,16.332,15.958,16.02,7634000,0.0,0.0
2019-08-16,16.168,16.398,16.072,16.132,5360500,0.0,0.0
2019-08-19,16.388,16.428,16.216,16.232,3918500,0.0,0.0
2019-08-20,16.144,16.222,15.892,15.934,5335500,0.0,0.0
2019-08-21,16.134,16.508,15.84,16.394,6676000,0.0,0.0
2019-08-22,16.4,16.47,16.18,16.35,3754500,0.0,0.0
2019-08-23,16.35,16.57,16.01,16.07,8224000,0.0,0.0
2019-08-26,16.166,16.308,16.1,16.226,6649500,0.0,0.0
2019-08-27,16.304,16.366,16.08,16.172,6815000,0.0,0.0
2019-08-28,16.016,16.116,15.422,15.57,10252000,0.0,0.0
2019-08-29,15.786,15.838,15.434,15.594,9107000,0.0,0.0
2019-08-30,15.718,15.948,15.65,15.836,6294000,0.0,0.0
2019-09-03,15.702,15.86,15.466,15.606,6383000,0.0,0.0
2019-09-04,15.848,15.878,15.534,15.644,5613500,0.0,0.0
2019-09-05,15.914,16.122,15.762,16.078,7786500,0.0,0.0
2019-09-06,16.1,16.282,15.968,16.02,4901500,0.0,0.0
2019-09-09,16.118,16.206,15.652,15.802,6825000,0.0,0.0
2019-09-10,15.666,15.91,15.472,15.842,5434000,0.0,0.0
2019-09-11,15.956,16.176,15.766,15.97,5696000,0.0,0.0
2019-09-12,16.014,16.134,15.652,15.674,7292500,0.0,0.0
2019-09-13,15.74,15.84,15.554,15.622,5079000,0.0,0.0
2019-09-16,15.486,15.98,15.368,15.934,4845000,0.0,0.0
2019-09-17,15.98,16.05,15.72,15.89,5876000,0.0,0.0
2019-09-18,15.86,15.874,15.552,15.774,4288500,0.0,0.0
2019-09-19,15.8,15.92,15.578,15.684,5466000,0.0,0.0
2019-09-20,15.85,16.04,15.618,15.646,10534000,0.0,0.0
2019-09-23,15.65,15.996,15.61,15.852,5883000,0.0,0.0
2019-09-24,15.986,15.99,15.632,15.856,6742000,0.0,0.0
2019-09-25,15.802,15.92,15.468,15.858,5057500,0.0,0.0
2019-09-26,15.822,15.93,15.702,15.772,3878500,0.0,0.0
2019-09-27,15.826,15.884,15.172,15.244,5528000,0.0,0.0
2019-09-30,15.244,15.456,15.112,15.352,6157500,0.0,0.0
2019-10-01,15.516,15.618,15.358,15.41,4047000,0.0,0.0
2019-10-02,15.28,15.28,14.91,15.13,5289000,0.0,0.0
2019-10-03,15.116,15.562,15.088,15.474,6300000,0.0,0.0
2019-10-04,15.582,15.638,15.35,15.498,4285000,0.0,0.0
2019-10-07,15.498,15.672,15.4,15.562,6375000,0.0,0.0
2019-10-08,15.396,15.48,15.026,15.266,5060000,0.0,0.0
2019-10-09,15.446,15.698,15.36,15.578,4587500,0.0,0.0
2019-10-10,15.43,15.612,15.314,15.52,4405500,0.0,0.0
2019-10-11,15.65,16.0,15.632,15.832,6035500,0.0,0.0
2019-10-14,15.85,15.942,15.782,15.862,5512500,0.0,0.0
2019-10-15,15.958,15.992,15.726,15.736,4386000,0.0,0.0
2019-10-16,15.432,15.622,15.14,15.554,6352500,0.0,0.0
2019-10-17,15.574,15.818,15.514,15.782,3979500,0.0,0.0
2019-10-18,15.754,15.758,15.16,15.312,6813500,0.0,0.0
2019-10-21,15.4,15.438,15.206,15.256,4282500,0.0,0.0
2019-10-22,15.292,15.64,15.266,15.408,3796500,0.0,0.0
2019-10-23,15.328,15.732,15.24,15.612,5931000,0.0,0.0
2019-10-24,15.774,16.208,15.74,16.192,7086000,0.0,0.0
2019-10-25,16.13,16.13,15.874,16.096,5198000,0.0,0.0
2019-10-28,16.144,16.292,16.008,16.062,4466500,0.0,0.0
2019-10-29,16.048,16.252,15.91,16.15,4465500,0.0,0.0
2019-10-30,16.208,16.536,16.088,16.524,4383500,0.0,0.0
2019-10-31,16.442,16.694,16.186,16.312,15445000,0.0,0.0
